Description,Price,Rating,Rating_count,Url
"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red",$120.00,4.4 out of 5 stars,283,http://wwww.amazon.com/Samsung-SM-A015M-Display-Unlocked-International/dp/B084V9FKK6/ref=sr_1_1?dchild=1&keywords=smartphone&qid=1609330837&sr=8-1
"Samsung Galaxy A20s, 32GB, Dual-SIM Smartphone, GSM Unlocked (Worldwide) - Blue",$209.99,4.3 out of 5 stars,"8,455",http://wwww.amazon.com/Samsung-Dual-SIM-Smartphone-Unlocked-Worldwide/dp/B08L6X1DH2/ref=sr_1_2?dchild=1&keywords=smartphone&qid=1609330837&sr=8-2
"BLU Advance S50 -Unlocked LTE Smartphone, 16GB+1GB RAM -Black",$49.99,4.0 out of 5 stars,83,http://wwww.amazon.com/BLU-Advance-Unlocked-Smartphone-Black/dp/B08HW1P1HP/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1609330837&sr=8-3
"Samsung Electronics Galaxy Note 20 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze, SM-N981UZNAXAA",$999.99,4.6 out of 5 stars,"2,132",http://wwww.amazon.com/Samsung-Electronics-Smartphone-Long-Lasting-SM-N981UZNAXAA/dp/B08BX8BZ1P/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1609330837&sr=8-4
"Smartphone,6.7in Screen Dual Card Dual Standby face Identification Smart Phone,5‑Point Touch Screen,Front Camera 800W + Back Camera 1300W,Stylish Design,Blue (100‑240V)(US)",$128.99,,,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02470081PL9UF9CV4JP7&url=%2FSmartphone-Standby-Identification-5%25E2%2580%2591Point-100%25E2%2580%2591240V%2Fdp%2FB08FMC5X22%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609330837%26sr%3D8-5-spons%26psc%3D1&qualifier=1609330837&id=2580820034906392&widgetName=sp_mtf
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",$187.49,4.4 out of 5 stars,891,http://wwww.amazon.com/TCL-Unlocked-Android-Smartphone-Display/dp/B087LY84RT/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1609330837&sr=8-6
"ASUS ROG Phone 2 (ZS660KL) Smartphone 128GB ROM 8GB RAM Snapdragon 855 Plus 6000 mAh NFC Android 9.0 - GSM Only International Version, No Warranty (Black)",$699.99,3.9 out of 5 stars,100,http://wwww.amazon.com/ASUS-ZS660KL-Smartphone-Snapdragon-Android/dp/B07YBVZ2PW/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1609330837&sr=8-7
"BLU G90 Pro – 6.5” HD+ Gaming Smartphone, Quad Camera, 128GB+4GB RAM – Purple Haze",$219.99,4.5 out of 5 stars,528,http://wwww.amazon.com/BLU-G90-Pro-Gaming-Smartphone/dp/B08C6XBCRT/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1609330837&sr=8-8
"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",$697.30,4.6 out of 5 stars,"1,406",http://wwww.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYTSXGQ/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1609330837&sr=8-9
MUV Smartphone by Vortex | Locked to Snapfon Network | Activation Kit Included | 4G LTE Nationwide Coverage |,$54.99,5.0 out of 5 stars,1,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06525221VM854Y82P56K&url=%2FSmartphone-Snapfon-Activation-Included-Nationwide%2Fdp%2FB08F98SVRX%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609330837%26sr%3D8-10-spons%26psc%3D1&qualifier=1609330837&id=2580820034906392&widgetName=sp_mtf
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",$69.99,4.0 out of 5 stars,"2,107",http://wwww.amazon.com/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_11?dchild=1&keywords=smartphone&qid=1609330837&sr=8-11
"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",$269.00,4.6 out of 5 stars,"2,009",http://wwww.amazon.com/Xiaomi-DotDisplay-Qualcomm-Snapdragon-Smartphone/dp/B0881TZRTZ/ref=sr_1_12?dchild=1&keywords=smartphone&qid=1609330837&sr=8-12
"Samsung Galaxy A01 (A015M) 32GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Black",$119.99,4.2 out of 5 stars,103,http://wwww.amazon.com/Samsung-Galaxy-Unlocked-Display-Smartphone/dp/B08BS55YDC/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1609330837&sr=8-13
"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",$109.99,4.1 out of 5 stars,"1,911",http://wwww.amazon.com/BLU-VIVO-X6-6-1-Display-64GB/dp/B0843HCT63/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1609330837&sr=8-14
"Dilwe1 Unlocked Smartphones, 6.7"" Full HD Screen Cell Phones, 24MP Rear Camera Dual Cards Dual Standby Phone with 4800mAh Battery, Face Unlock for Android 10 Black(US)",$129.99,3.5 out of 5 stars,4,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00686621I79VU8ROANIO&url=%2FDilwe1-Unlocked-Smartphones-Standby-4800mAh%2Fdp%2FB08G54L3BF%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609330837%26sr%3D8-15-spons%26psc%3D1&qualifier=1609330837&id=2580820034906392&widgetName=sp_mtf
"Xiaomi Poco X3 NFC 64GB, 6GB RAM, 5160mAh (typ) Large Battery, 6.67"" DotDisplay, QUALCOMM Snapdragon GSM LTE Factory Unlocked Smartphone - International Version (Cobalt Blue)",$257.00,4.4 out of 5 stars,319,http://wwww.amazon.com/Xiaomi-DotDisplay-QUALCOMM-Snapdragon-Smartphone/dp/B08B99D7FJ/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1609330837&sr=8-16
"OUKITEL WP8 Pro (2020) Rugged Smartphone, 6.49” Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Android 10, 5000mAh Battery Face/Fingerprint ID, GPS NFC, Orange",$189.99,4.4 out of 5 stars,143,http://wwww.amazon.com/OUKITEL-WP8-Pro-Smartphone-Fingerprint/dp/B08HRJM99F/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1609330837&sr=8-17
"OUKITEL WP5 (2020) Rugged Smartphone, 8000mAh Battery IP68 Waterproof Android 10 Unlocked Cell Phones 4G LTE Dual SIM, 5.5inches 4GB 32GB Triple Camera Face/Fingerprint Unlock GPS Global Version",$159.99,4.3 out of 5 stars,803,http://wwww.amazon.com/OUKITEL-WP5-Smartphone-Waterproof-Fingerprint/dp/B0836TG4XB/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1609330837&sr=8-18
"DOOGEE S60 Lite Unlocked Rugged Smartphones Waterproof Rugged Cell Phones 4G Octa-Core 4GB+32GB 5.2 inch FHD Display Phone, Cameras 16MP+8MP, 5580mAh/NFC/Face ID/GPS, Black",$199.99,5.0 out of 5 stars,7,http://wwww.amazon.com/DOOGEE-S60-Smartphones-Waterproof-Octa-Core/dp/B08N16B1BR/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1609330837&sr=8-19
